Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Panthers,@Seahawks,6,0,15.3,4.7,-1,0.6,1.7,19.2,11.7,10,11,-9.8,3.893859035,3.532225644,11.9,12.7,16.8,16.8,31.9,7,7.4,-4.7,1.7,-8.5,-11,-7,-6.5,0.4,1
Chargers,@Packers,6,0,32.5,-4.8,20.1,4.1,19.3,-6.8,41.2,-8.6,1.8,-5.9,4.194189897,3.206803244,11.2,10.8,24.7,1,23.3,8,8,7,-4.9,-0.6,-3.5,-10.5,-9.5,1,0.4
Ravens,@49ers,6,1,-31.3,1.8,-15.4,-0.9,-21,-4.6,-40.8,0.3,-4.4,5.8,0.9162907319,3.443618098,7,9,-0.4,10.1,6.6,10.9,11.5,9.4,4.6,21.9,7.5,2.5,3,0.2,0.2
Patriots,@Colts,6,1,-6.6,41.3,-5.5,38.1,-7.6,8.7,-11.1,55.9,2,9.1,3.303216973,4.259859001,10.2,8.8,-1.1,2.3,4.5,11.8,10.8,13.5,3,22.1,1.5,8.5,7,0.6,1
Giants,@Eagles,6,1,7.7,10.4,-5,9.8,12.8,1.6,8.8,15.3,1,3.9,3.725693427,3.686376324,9.7,9.7,1.1,3.3,12.8,7.5,7,-0.3,-4.9,-5.8,16.5,-3.5,-4,0.4,0.6
Seahawks,@49ers,7,0,-30.2,14.5,-13,1.3,-19.1,1.1,-36.3,12,-4.2,9.6,,,7,9,-0.4,10.1,6.6,11.9,12.7,16.8,16.8,31.9,-10.5,6.5,4,0.333,0.333
Bills,@Jaguars,7,1,-21.2,9.7,-6.2,12.4,-9.8,1.6,-22.1,13.4,-6.1,-0.6,,,3.6,3.3,-24.3,-1.5,-29.5,9.6,9,-11.2,15.5,10.5,6,3,4,0.167,0.5
Buccaneers,@Redskins,7,0,-6.1,-21.7,-4.1,-22.7,0.6,-1.4,-2.8,-24.6,0.7,-0.5,,,4.5,4.4,-11.8,-9.9,-27,4.4,4.1,-26.3,-1.1,-28.3,-2,-3,-4,0.333,0.4
Falcons,@Titans,7,1,-13.8,-0.9,-12.5,8.8,3.2,-5.9,-13.2,-1.6,-3.9,-4.5,,,3.3,4,-16.4,-11.2,-29.3,7.1,7.2,7.2,-15.7,-5.4,2.5,6,4,0.2,0.833
Saints,@Colts,7,0,-4.1,-12.4,-1.2,6.8,-6.6,-19.3,-6.5,-16.1,1.3,-3.6,,,10.2,8.8,-1.1,2.3,4.5,7.4,7.6,10.6,-13.1,-0.9,-10,-6,-5.5,0.5,0.333
Vikings,@Lions,7,0,-19.6,-13.4,-11.3,-15.3,-12.2,-5.4,-25,-20.3,-1.5,0.4,,,9.2,8.7,-3.8,13.9,4.4,7.5,7.2,-7.4,-4.3,-8.7,-8,0,-1,0.167,0.6
Steelers,@Chiefs,7,1,-2.5,17.4,-0.6,19.8,-7.3,0.4,-4.3,20.9,3.6,0.7,,,10.1,9.4,5,-1.3,10.4,9.7,9.4,22.5,-11.3,12.1,7,-3,-2,0.167,0.667
Browns,@Rams,7,1,-0.6,-8.3,-20,-6.9,14.4,-10,-3.7,-7.8,1.9,9.1,,,7.1,6.1,-11.1,3.8,-3.8,6.9,7.2,-10.2,3,-6.7,12,-6,-5.5,0.4,0.333
Texans,@Dolphins,7,1,-8.7,-21.8,-4.4,-10.2,-8,-7,-10.5,-25.9,1.9,-8.7,,,8.4,8.8,10.1,-0.5,3.5,9.8,6.7,-6.8,6.2,-4.5,14,-5,-5.5,0.4,0.333
