,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HSpec,14VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Panthers,@Titans,10,NA,,,,,,,,,,,-1.7,-5.5,3.3,4,-16.4,-11.2,-29.3,7,7.4,-4.7,1.7,-8.5
Bears,@Rams,10,NA,,,,,,,,,,,3.5,-3.1,7.1,6.1,-11.1,3.8,-3.8,4.9,6.4,-0.1,-10.6,-13.8
Saints,@Redskins,10,NA,,,,,,,,,,,-5.3,1.6,4.5,4.4,-11.8,-9.9,-27,7.4,7.6,10.6,-13.1,-0.9
Dolphins,@Eagles,10,NA,,,,,,,,,,,8.4,-6.1,9.7,9.7,1.1,3.3,12.8,8.4,8.8,10.1,-0.5,3.5
Browns,@Steelers,10,NA,,,,,,,,,,,0.9,0.5,9.7,9.4,22.5,-11.3,12.1,6.9,7.2,-10.2,3,-6.7
Jaguars,@Ravens,10,NA,,,,,,,,,,,7.9,-3.7,10.9,11.5,9.4,4.6,21.9,3.6,3.3,-24.3,-1.5,-29.5
Vikings,@Raiders,10,NA,,,,,,,,,,,-1.7,3,3.1,4.8,-19.4,-6.3,-27.4,7.5,7.2,-7.4,-4.3,-8.7
Patriots,@Giants,10,NA,,,,,,,,,,,-0.6,5.6,7.5,7,-0.3,-4.9,-5.8,11.8,10.8,13.5,3,22.1
Chiefs,@Broncos,10,NA,,,,,,,,,,,-3.7,6.7,11,13.3,20,13.2,29.5,10.1,9.4,5,-1.3,10.4
Cardinals,@Seahawks,10,NA,,,,,,,,,,,-1.7,-2.1,11.9,12.7,16.8,16.8,31.9,8.3,7.4,-9.3,5,-6.4
Texans,@Bengals,10,NA,,,,,,,,,,,4.1,-3.9,8.6,9,-1.4,2.3,5,9.8,6.7,-6.8,6.2,-4.5
Titans,@Jaguars,11,NA,,,,,,,,,,,-3.7,-1.7,3.6,3.3,-24.3,-1.5,-29.5,3.3,4,-16.4,-11.2,-29.3
Raiders,@Lions,11,NA,,,,,,,,,,,-5.7,-1.7,9.2,8.7,-3.8,13.9,4.4,3.1,4.8,-19.4,-6.3,-27.4
Colts,@Falcons,11,NA,,,,,,,,,,,3.1,3.3,7.1,7.2,7.2,-15.7,-5.4,10.2,8.8,-1.1,2.3,4.5
Jets,@Texans,11,NA,,,,,,,,,,,-3.9,-0.8,9.8,6.7,-6.8,6.2,-4.5,4.8,5.9,-11.2,-3.5,-15.5
Buccaneers,@Eagles,11,NA,,,,,,,,,,,8.4,-0.9,9.7,9.7,1.1,3.3,12.8,4.4,4.1,-26.3,-1.1,-28.3
Broncos,@Bears,11,NA,,,,,,,,,,,-3.1,-3.7,4.9,6.4,-0.1,-10.6,-13.8,11,13.3,20,13.2,29.5
Packers,@Vikings,11,NA,,,,,,,,,,,3,-2.4,7.5,7.2,-7.4,-4.3,-8.7,11.2,10.8,24.7,1,23.3
Rams,@Ravens,11,NA,,,,,,,,,,,7.9,3.5,10.9,11.5,9.4,4.6,21.9,7.1,6.1,-11.1,3.8,-3.8
Cowboys,@Dolphins,11,NA,,,,,,,,,,,-6.1,0.9,8.4,8.8,10.1,-0.5,3.5,10.8,10.3,16.8,-4,13.7
Redskins,@Panthers,11,NA,,,,,,,,,,,-5.5,-5.3,7,7.4,-4.7,1.7,-8.5,4.5,4.4,-11.8,-9.9,-27
